Type,CI,target_groups,target_names,Source,Pop (total #adns),Counts,targets,scales,current_lower_bounds,current_upper_bounds,LB_normal,UB_normal,stopping_lower_bounds,stopping_upper_bounds
Proportion,Multinomial,T1,adeno_small,COCOS study,902,660,73.171,1.475,63.18324817,82.76560565,69.37,76.971,68.079,77.87
Proportion,Multinomial,T1,adeno_medium,COCOS study,902,132.9,14.734,1.18,7.1703525,22.89718866,11.694,17.774,11.102,18.965
Proportion,Multinomial,T1,adeno_large,COCOS study,902,109.5,12.14,1.087,5.204009651,19.72013293,9.338,14.941,8.833,16.091
Incidence,Lognormal,T2,inc_us_0_19,US,35079567,0,0,0,-0.010833803,0.032501409,0,0,0,0.022
Incidence,Lognormal,T2,inc_us_20_29,US,18774833,153,0.815,0.066,0.395455779,1.275279637,0.645,0.985,0.615,1.055
Incidence,Lognormal,T2,inc_us_30_39,US,13897359,577,4.152,0.173,3.033880386,5.324674658,3.707,4.597,3.607,4.752
Incidence,Lognormal,T2,inc_us_40_49,US,10881697,2249,20.668,0.436,17.82484964,23.58032775,19.545,21.79,19.264,22.141
Incidence,Lognormal,T2,inc_us_50_59,US,10927593,7577,69.338,0.797,64.12120355,74.6245429,67.286,71.39,66.747,71.999
Incidence,Lognormal,T2,inc_us_60_69,US,7930270,13175,166.136,1.447,156.645025,175.7215397,162.407,169.864,161.414,170.952
Incidence,Lognormal,T2,inc_us_70_79,US,4593800,14204,309.199,2.594,292.1857628,326.3776366,302.516,315.882,300.734,317.83
Incidence,Lognormal,T2,inc_us_80_99,US,2185207,9359,428.289,4.427,399.2800813,457.6441647,416.885,439.693,413.871,443.053
Incidence,Lognormal,T3,inc_uk,Atkin,49752800,27773,55.822,0.335,53.62315044,58.03601557,54.959,56.685,54.726,56.933
Proportion,Multinomial,T4A,stage1_righ,US,22188,2268,10.222,0.203,8.892472035,11.57821304,9.698,10.746,9.564,10.907
Proportion,Multinomial,T4A,stage2_righ,US,22188,8394,37.831,0.326,35.68855206,39.98227506,36.993,38.67,36.762,38.909
Proportion,Multinomial,T4A,stage3_righ,US,22188,5868,26.447,0.296,24.5018853,28.40765371,25.684,27.209,25.478,27.431
Proportion,Multinomial,T4A,stage4_righ,US,22188,5658,25.5,0.293,23.57865884,27.43861201,24.747,26.254,24.544,26.474
Proportion,Multinomial,T4A,stage1_left,US,21926,4117,18.777,0.264,17.04752231,20.52765169,18.097,19.456,17.918,19.658
Proportion,Multinomial,T4A,stage2_left,US,21926,7567,34.512,0.321,32.39969355,36.63408424,33.684,35.339,33.458,35.575
Proportion,Multinomial,T4A,stage3_left,US,21926,4962,22.631,0.283,20.77603916,24.50421024,21.903,23.359,21.708,23.572
Proportion,Multinomial,T4A,stage4_left,US,21926,5280,24.081,0.289,22.18528099,25.9946306,23.337,24.825,23.138,25.042
Proportion,Multinomial,T4A,stage1_rect,US,18644,4962,26.614,0.324,24.48884483,28.75908492,25.781,27.448,25.556,27.692
Proportion,Multinomial,T4A,stage2_rect,US,18644,5116,27.44,0.327,25.29392384,29.60533989,26.599,28.282,26.372,28.527
Proportion,Multinomial,T4A,stage3_rect,US,18644,4575,24.539,0.315,22.46996179,26.62818754,23.727,25.351,23.51,25.589
Proportion,Multinomial,T4A,stage4_rect,US,18644,3991,21.406,0.3,19.43592519,23.40002461,20.633,22.18,20.427,22.409
Proportion,Multinomial,T4B,stage1_0_34,US,300,32,10.667,1.782,-0.348151299,23.70991902,6.076,15.258,5.666,17.695
Proportion,Multinomial,T4B,stage2_0_34,US,300,93,31,2.67,13.74489895,49.22494826,24.122,37.878,22.615,40.355
Proportion,Multinomial,T4B,stage3_0_34,US,300,97,32.333,2.701,14.84838388,50.71984818,25.377,39.29,23.816,41.752
Proportion,Multinomial,T4B,stage4_0_34,US,300,78,26,2.532,9.761383389,43.46513845,19.476,32.524,18.187,35.039
Proportion,Multinomial,T4B,stage1_35_44,US,1517,260,17.139,0.968,10.87936392,23.72991904,14.647,19.632,14.092,20.517
Proportion,Multinomial,T4B,stage2_35_44,US,1517,424,27.95,1.152,20.42573612,35.69576196,24.982,30.918,24.243,31.878
Proportion,Multinomial,T4B,stage3_35_44,US,1517,456,30.059,1.177,22.36023537,37.95885846,27.027,33.092,26.26,34.059
Proportion,Multinomial,T4B,stage4_35_44,US,1517,377,24.852,1.11,17.62248527,32.33383306,21.993,27.71,21.3,28.656
Proportion,Multinomial,T4C,stage1_45_54,US,6004,1134,18.887,0.505,15.58695898,22.2666315,17.586,20.189,17.257,20.597
Proportion,Multinomial,T4C,stage2_45_54,US,6004,1742,29.014,0.586,25.17112543,32.90994012,27.505,30.523,27.106,30.975
Proportion,Multinomial,T4C,stage3_45_54,US,6004,1636,27.249,0.575,23.48074362,31.07381498,25.768,28.729,25.379,29.176
Proportion,Multinomial,T4C,stage4_45_54,US,6004,1492,24.85,0.558,21.19647991,28.56735566,23.413,26.287,23.039,26.725
Proportion,Multinomial,T4C,stage1_55_64,US,14799,2860,19.326,0.325,17.19883624,21.48386261,18.49,20.162,18.27,20.413
Proportion,Multinomial,T4C,stage2_55_64,US,14799,4638,31.34,0.381,28.833759,33.86526423,30.358,32.322,30.092,32.607
Proportion,Multinomial,T4C,stage3_55_64,US,14799,3824,25.84,0.36,23.47746566,28.22645355,24.913,26.767,24.665,27.039
Proportion,Multinomial,T4C,stage4_55_64,US,14799,3477,23.495,0.349,21.20846392,25.80835489,22.597,24.393,22.358,24.658
Proportion,Multinomial,T4C,stage1_65_74,US,19947,3756,18.83,0.277,17.01521231,20.66827569,18.117,19.543,17.928,19.755
Proportion,Multinomial,T4C,stage2_65_74,US,19947,6701,33.594,0.334,31.39469628,35.80581246,32.733,34.455,32.497,34.703
Proportion,Multinomial,T4C,stage3_65_74,US,19947,4762,23.873,0.302,21.89195301,25.87442549,23.096,24.651,22.888,24.879
Proportion,Multinomial,T4C,stage4_65_74,US,19947,4728,23.703,0.301,21.72645414,25.69915065,22.927,24.478,22.72,24.706
Proportion,Multinomial,T4C,stage1_75_84,US,15466,2584,16.708,0.3,14.74362729,18.70426181,15.935,17.48,15.734,17.714
Proportion,Multinomial,T4C,stage2_75_84,US,15466,5623,36.357,0.387,33.81234163,38.91536772,35.361,37.354,35.088,37.64
Proportion,Multinomial,T4C,stage3_75_84,US,15466,3618,23.393,0.34,21.1599838,25.65259941,22.516,24.27,22.283,24.529
Proportion,Multinomial,T4C,stage4_75_84,US,15466,3641,23.542,0.341,21.30369919,25.80616462,22.663,24.421,22.429,24.681
Proportion,Multinomial,T4C,stage1_85_99,US,4725,721,15.259,0.523,11.8525115,18.77793257,13.912,16.607,13.584,17.047
Proportion,Multinomial,T4C,stage2_85_99,US,4725,1856,39.28,0.71,34.603676,43.99163022,37.45,41.111,36.951,41.645
Proportion,Multinomial,T4C,stage3_85_99,US,4725,1012,21.418,0.597,17.51697132,25.41099672,19.881,22.955,19.49,23.437
Proportion,Multinomial,T4C,stage4_85_99,US,4725,1136,24.042,0.622,19.97369249,28.19448207,22.441,25.644,22.029,26.139
Incidence,Lognormal,T5,followup_inc_1999,Atkin,113253,32.01398758,28.26767289,4.996,-2.418540223,65.82333976,15.398,41.137,14.642,48.763
Incidence,Lognormal,T5,followup_inc_2001,Atkin,111325,27.56860206,24.76407102,4.716,-4.08410751,60.51779797,12.615,36.914,12.066,44.367
Incidence,Lognormal,T5,followup_inc_2003,Atkin,109157,45.86940618,42.02149764,6.205,3.340411094,87.1453258,26.039,58.004,24.292,66.194
Incidence,Lognormal,T5,followup_inc_2005,Atkin,106599,51.45671134,48.27128898,6.729,6.147993804,96.81795329,30.937,65.606,28.815,74.15
Incidence,Lognormal,T5,followup_inc_2007,Atkin,103359,65.1304701,63.01383537,7.808,14.04855908,119.2142408,42.9,83.127,40.34,92.923
Incidence,Lognormal,T5,followup_inc_2009,Atkin,68118,33.19754227,48.73534495,8.458,-3.393529509,111.7415273,26.946,70.524,25.39,82.958
Incidence,Binomial/Lognormal,T6,screen_det_r1_s1,BVO NL,3134747,5619,0.179,0.002,0.163613497,0.195125066,0.173,0.185,0.171,0.187
Incidence,Binomial/Lognormal,T6,screen_det_r1_s2,BVO NL,3134747,1968,0.063,0.001,0.053557079,0.07224506,0.059,0.066,0.058,0.068
Incidence,Binomial/Lognormal,T6,screen_det_r1_s3,BVO NL,3134747,4056,0.129,0.002,0.116114252,0.142903707,0.124,0.135,0.123,0.136
Incidence,Binomial/Lognormal,T6,screen_det_r1_s4,BVO NL,3134747,764,0.024,0.001,0.018656584,0.030330022,0.022,0.027,0.022,0.027
Incidence,Binomial/Lognormal,T6,screen_det_r2_s1,BVO NL,2575537,2042,0.079,0.002,0.067848624,0.091014386,0.075,0.084,0.074,0.085
Incidence,Binomial/Lognormal,T6,screen_det_r2_s2,BVO NL,2575537,753,0.029,0.001,0.02233144,0.036437114,0.026,0.032,0.026,0.033
Incidence,Binomial/Lognormal,T6,screen_det_r2_s3,BVO NL,2575537,1504,0.058,0.002,0.048595072,0.068490592,0.055,0.062,0.054,0.064
Incidence,Binomial/Lognormal,T6,screen_det_r2_s4,BVO NL,2575537,277,0.011,0.001,0.006606668,0.015200246,0.009,0.012,0.009,0.013
Incidence,Binomial/Lognormal,T6,screen_det_r3_s1,BVO NL,1482310,1098,0.074,0.002,0.059551301,0.08910783,0.068,0.08,0.067,0.082
Incidence,Binomial/Lognormal,T6,screen_det_r3_s2,BVO NL,1482310,465,0.031,0.001,0.021979984,0.041274057,0.028,0.035,0.027,0.036
Incidence,Binomial/Lognormal,T6,screen_det_r3_s3,BVO NL,1482310,763,0.051,0.002,0.039396523,0.064063757,0.047,0.056,0.046,0.058
Incidence,Binomial/Lognormal,T6,screen_det_r3_s4,BVO NL,1482310,121,0.008,0.001,0.003457035,0.013387701,0.006,0.01,0.006,0.011
Incidence,Binomial/Lognormal,T6,screen_det_r4_s1,BVO NL,174877,43,0.025,0.004,0.001361113,0.05226121,0.015,0.034,0.014,0.04
Incidence,Binomial/Lognormal,T6,screen_det_r4_s2,BVO NL,174877,30,0.017,0.003,-0.002038235,0.040815295,0.009,0.025,0.009,0.03
Incidence,Binomial/Lognormal,T6,screen_det_r4_s3,BVO NL,174877,30,0.017,0.003,-0.002038235,0.040815295,0.009,0.025,0.009,0.03
Incidence,Binomial/Lognormal,T6,screen_det_r4_s4,BVO NL,174877,7,0.004,0.002,-0.004748505,0.017329697,0,0.008,0.001,0.012
Incidence,Lognormal,T7,int_canc_r1,BVO_nl,2941162,3320,112.881,1.959,100.0812828,125.9375478,107.834,117.927,106.545,119.473
Incidence,Lognormal,T7,int_canc_r2,BVO_nl,1490108,1719,115.361,2.782,97.23341752,133.9975264,108.193,122.528,106.424,124.806
Incidence,Lognormal,T7,int_canc_r3,BVO_nl,250344,246,98.265,6.265,58.10279475,141.4835071,82.126,114.404,78.948,120.638
Proportion,Normal approx,T8,adeno_prev_32,Meta-model CR,,,0.15,0.107142857,-0.127806122,0.478316327,,,0.02372449,0.326785714
Proportion,Normal approx,T8,adeno_prev_42,Meta-model CR,,,0.21,0.12755102,-0.147780612,0.609872449,,,0.041632653,0.420459184
Proportion,Normal approx,T8,adeno_prev_52,Meta-model CR,,,0.27,0.147959184,-0.155127551,0.737219388,,,0.067959184,0.514132653
Proportion,Normal approx,T8,adeno_prev_62,Meta-model CR,,,0.34,0.158163265,-0.156683673,0.853520408,,,0.095867347,0.600969388
Proportion,Normal approx,T8,adeno_prev_72,Meta-model CR,,,0.41,0.168367347,-0.132984694,0.961403061,,,0.140612245,0.687806122
Proportion,Normal approx,T8,adeno_prev_82,Meta-model CR,,,0.48,0.178571429,-0.084030612,1.060867347,,,0.202193878,0.774642857
Proportion,Normal approx,T8,adeno_prev_92,Meta-model CR,,,0.56,0.173469388,-0.01244898,1.13244898,,,0.27377551,0.84622449
Proportion,Normal approx,T8,adeno_mult_1_32,Meta-model CR,,,0.1,0.051020408,-0.043112245,0.25994898,,,0.032653061,0.184183673
Proportion,Normal approx,T8,adeno_mult_1_62,Meta-model CR,,,0.17,0.025510204,0.035306122,0.271020408,,,0.094234694,0.212091837
Proportion,Normal approx,T8,adeno_mult_1_92,Meta-model CR,,,0.19,0.020408163,0.084770408,0.26997449,,,0.131071429,0.223673469
Proportion,Normal approx,T8,adeno_mult_2_32,Meta-model CR,,,0.03,0.025510204,-0.028928571,0.105765306,,,0.004744898,0.072091837
Proportion,Normal approx,T8,adeno_mult_2_62,Meta-model CR,,,0.06,0.030612245,-0.028392857,0.156811224,,,0.017908163,0.110510204
Proportion,Normal approx,T8,adeno_mult_2_92,Meta-model CR,,,0.1,0.015306122,0.024234694,0.158928571,,,0.057908163,0.125255102
Proportion,Normal approx,T8,adeno_mult_3_32,Meta-model CR,,,0.02,0.040816327,-0.038928571,0.129438776,,,0.003163265,0.087346939
Proportion,Normal approx,T8,adeno_mult_3_62,Meta-model CR,,,0.11,0.107142857,-0.117295918,0.421479592,,,0.017397959,0.286785714
Proportion,Normal approx,T8,adeno_mult_3_92,Meta-model CR,,,0.27,0.173469388,-0.214056122,0.812984694,,,0.042704082,0.55622449
